n 93651 m 157137
v 22414 11 26
v 22415 7 32
v 22416 17 29
v 22417 7 30
v 22418 12 34
v 22419 19 21
v 22420 9 34
v 22421 2 50
v 22422 4 27
v 22423 4 18
v 22424 2 18
v 22425 1 16
v 22426 6 20
v 22427 10 22
v 22428 2 27
v 22429 5 18
v 22430 4 33
v 22431 7 31
v 22432 19 22
v 22433 19 27
v 22434 19 18
v 22435 11 25
v 22436 25 22
v 22437 19 24
v 22438 29 14
v 22439 31 33
v 22440 15 25
v 22441 14 35
v 22442 5 26
v 22443 35 23
v 22444 7 33
v 22445 6 38
v 22446 0 14
v 22447 0 14
v 22448 2 15
v 22449 3 16
v 22450 4 16
v 22451 5 19
v 22452 5 18
v 22453 2 18
v 22454 2 16
v 22455 0 22
v 22456 0 23
v 22457 5 17
v 22458 4 21
v 22459 1 18
v 22460 2 24
v 22461 3 29
v 22462 15 24
v 22463 17 27
v 22464 14 17
v 22465 5 24
v 22466 12 21
v 22467 3 18
v 22468 20 26
v 22469 23 26
v 22470 8 15
v 22471 18 35
v 22472 4 33
v 22473 23 41
v 22474 20 37
v 22475 12 32
v 22476 7 29
v 22477 4 29
v 22478 25 42
v 22479 22 41
v 22480 9 48
v 22481 22 17
v 22482 30 18
v 22483 9 12
v 22484 9 12
v 22485 10 14
v 22486 12 14
v 22487 13 13
v 22488 13 17
v 22489 9 18
v 22490 15 14
v 22491 16 14
v 22492 16 19
v 22493 10 17
v 22494 19 12
v 22495 20 20
v 22496 10 24
v 22497 19 23
v 22498 24 22
v 22499 16 18
v 22500 13 13
v 22501 10 16
v 22502 22 17
v 22503 15 30
v 22504 27 15
v 22505 22 13
v 22506 32 16
v 22507 15 31
v 22508 26 28
v 22509 32 15
v 22510 27 37
v 22511 9 12
v 22512 10 13
v 22513 11 13
v 22514 12 15
v 22515 12 14
v 22516 12 17
v 22517 10 14
v 22518 9 12
v 22519 13 15
v 22520 14 19
v 22521 12 20
v 22522 14 20
v 22523 9 23
v 22524 10 20
v 22525 23 21
v 22526 14 19
v 22527 10 14
v 22528 22 25
v 22529 19 13
v 22530 25 22
v 22531 17 20
v 22532 23 23
v 22533 9 12
v 22534 18 19
v 22535 11 26
v 22536 22 12
v 22537 21 17
v 22538 35 26
v 22539 9 12
v 22540 9 12
v 22541 10 12
v 22542 9 15
v 22543 9 14
v 22544 9 16
v 22545 10 18
v 22546 12 18
v 22547 17 12
v 22548 10 19
v 22549 15 12
v 22550 9 18
v 22551 13 15
v 22552 11 19
v 22553 14 20
v 22554 12 22
v 22555 14 15
v 22556 16 23
v 22557 25 22
v 22558 25 24
v 22559 16 24
v 22560 14 12
v 22561 16 20
v 22562 18 16
v 22563 25 34
v 22564 32 24
v 22565 17 27
v 22566 10 17
v 22567 2 2
v 22568 2 3
v 22569 4 3
v 22570 2 5
v 22571 3 6
v 22572 4 6
v 22573 3 6
v 22574 7 2
v 22575 8 2
v 22576 2 11
v 22577 2 9
v 22578 5 5
v 22579 9 7
v 22580 12 6
v 22581 4 2
v 22582 10 7
v 22583 8 9
v 22584 12 10
v 22585 20 9
v 22586 21 13
v 22587 19 19
v 22588 6 5
v 22589 17 24
v 22590 21 15
v 22591 17 10
v 22592 21 11
v 22593 28 3
v 22594 23 24
v 22595 30 21
v 22596 16 21
v 22597 27 7
v 22598 3 12
v 22599 30 2
v 22600 28 34
v 22601 10 21
v 22602 24 15
v 22603 24 7
v 22604 9 2
v 22605 29 3
v 22606 32 10
v 22607 9 32
v 22608 2 2
v 22609 2 2
v 22610 2 3
v 22611 5 5
v 22612 6 5
v 22613 6 7
v 22614 8 4
v 22615 7 3
v 22616 8 10
v 22617 7 4
v 22618 8 6
v 22619 5 12
v 22620 12 8
v 22621 3 13
v 22622 5 14
v 22623 8 11
v 22624 10 17
v 22625 10 14
v 22626 7 20
v 22627 2 5
v 22628 14 14
v 22629 13 8
v 22630 8 18
v 22631 5 14
v 22632 9 26
v 22633 18 6
v 22634 18 26
v 22635 5 22
v 22636 7 29
v 22637 13 10
v 22638 23 14
v 22639 3 27
v 22640 5 20
v 22641 14 13
v 22642 26 22
v 22643 33 34
v 22644 2 28
v 22645 27 4
v 22646 38 27
v 22647 19 38
v 22648 7 38
v 22649 2 2
v 22650 2 3
v 22651 3 4
v 22652 2 3
v 22653 3 3
v 22654 2 2
v 22655 5 6
v 22656 7 4
v 22657 10 2
v 22658 3 2
v 22659 8 8
v 22660 6 8
v 22661 3 14
v 22662 15 7
v 22663 11 11
v 22664 6 4
v 22665 11 5
v 22666 7 12
v 22667 2 5
v 22668 13 18
v 22669 2 14
v 22670 4 3
v 22671 21 22
v 22672 16 6
v 22673 7 23
v 22674 13 17
v 22675 17 19
v 22676 14 12
v 22677 29 18
v 22678 17 10
v 22679 6 25
v 22680 3 2
v 22681 31 14
v 22682 6 2
v 22683 30 9
v 22684 26 2
v 22685 10 33
v 22686 13 21
v 22687 9 32
v 22688 6 11
v 22689 42 17
v 22690 13 8
v 22691 14 9
v 22692 13 9
v 22693 16 8
v 22694 16 9
v 22695 18 13
v 22696 17 9
v 22697 14 10
v 22698 16 14
v 22699 22 10
v 22700 21 15
v 22701 20 10
v 22702 22 15
v 22703 16 18
v 22704 18 18
v 22705 14 14
v 22706 17 11
v 22707 16 22
v 22708 30 19
v 22709 18 20
v 22710 17 23
v 22711 25 14
v 22712 25 18
v 22713 18 19
v 22714 24 23
v 22715 38 26
v 22716 39 21
v 22717 35 26
v 22718 36 19
v 22719 30 11
v 22720 39 14
v 22721 22 36
v 22722 36 26
v 22723 16 31
v 22724 34 21
v 22725 28 40
v 22726 20 38
v 22727 16 31
v 22728 43 27
v 22729 14 32
v 22730 16 32
v 22731 41 22
v 22732 34 43
v 22733 35 12
v 22734 33 10
v 22735 42 46
v 22736 28 19
v 22737 52 26
v 22738 25 32
v 22739 13 8
v 22740 13 9
v 22741 15 10
v 22742 14 10
v 22743 14 12
v 22744 16 12
v 22745 17 10
v 22746 20 9
v 22747 18 14
v 22748 13 8
v 22749 20 12
v 22750 13 15
v 22751 25 14
v 22752 13 12
v 22753 14 22
v 22754 27 23
v 22755 19 15
v 22756 23 20
v 22757 26 11
v 22758 24 9
v 22759 16 12
v 22760 28 12
v 22761 30 27
v 22762 18 14
v 22763 28 19
v 22764 30 15
v 22765 14 10
v 22766 28 13
v 22767 14 33
v 22768 27 19
v 22769 19 34
v 22770 18 14
v 22771 26 21
v 22772 28 21
v 22773 34 22
v 22774 37 9
v 22775 34 40
v 22776 22 37
v 22777 34 17
v 22778 35 19
v 22779 48 14
v 22780 47 21
v 22781 32 43
v 22782 46 49
v 22783 36 52
v 22784 22 23
v 22785 58 44
v 22786 37 14
v 22787 48 52
v 22788 13 8
v 22789 13 9
v 22790 15 8
v 22791 15 10
v 22792 13 10
v 22793 15 8
v 22794 17 14
v 22795 19 14
v 22796 14 13
v 22797 14 8
v 22798 21 12
v 22799 16 9
v 22800 17 18
v 22801 21 12
v 22802 19 12
v 22803 27 11
v 22804 17 12
v 22805 23 10
v 22806 27 14
v 22807 30 26
v 22808 31 15
v 22809 23 11
v 22810 16 19
v 22811 16 20
v 22812 16 23
v 22813 38 10
v 22814 30 20
v 22815 15 12
v 22816 22 21
v 22817 37 35
v 22818 3 0
v 22819 3 0
v 22820 11 2
v 22821 11 3
v 22822 13 3
v 22823 12 3
v 22824 11 5
v 22825 15 3
v 22826 15 7
v 22827 18 9
v 22828 13 2
v 22829 15 10
v 22830 11 6
v 22831 11 7
v 22832 11 10
v 22833 12 9
v 22834 24 15
v 22835 17 2
v 22836 21 4
v 22837 23 2
v 22838 15 11
v 22839 11 19
v 22840 14 10
v 22841 12 14
v 22842 31 12
v 22843 34 22
v 22844 20 10
v 22845 15 3
v 22846 29 27
v 22847 33 7
v 22848 25 16
v 22849 38 19
v 22850 37 24
v 22851 39 13
v 22852 11 2
v 22853 11 2
v 22854 13 2
v 22855 14 2
v 22856 12 4
v 22857 15 6
v 22858 12 8
v 22859 18 3
v 22860 18 4
v 22861 19 5
v 22862 13 9
v 22863 22 4
v 22864 19 12
v 22865 13 6
v 22866 25 12
v 22867 21 10
v 22868 19 5
v 22869 12 8
v 22870 21 12
v 22871 25 10
v 22872 25 12
v 22873 20 6
v 22874 28 4
v 22875 26 14
v 22876 23 5
v 22877 34 21
v 22878 12 15
v 22879 18 2
v 22880 38 22
v 22881 39 27
v 22882 16 26
v 22883 36 33
v 22884 11 2
v 22885 11 2
v 22886 11 4
v 22887 13 4
v 22888 12 5
v 22889 13 6
v 22890 14 2
v 22891 11 5
v 22892 14 6
v 22893 14 3
v 22894 15 3
v 22895 16 2
v 22896 14 12
v 22897 22 7
v 22898 12 2
v 22899 24 6
v 22900 14 15
v 22901 25 9
v 22902 15 3
v 22903 22 6
v 22904 24 3
v 22905 26 3
v 22906 13 9
v 22907 32 13
v 22908 30 13
v 22909 29 6
v 22910 31 3
v 22911 21 13
v 22912 29 28
v 22913 28 3
v 22914 28 4
v 22915 28 3
v 22916 29 3
v 22917 32 7
v 22918 29 6
v 22919 33 5
v 22920 31 5
v 22921 36 10
v 22922 28 8
v 22923 30 10
v 22924 35 10
v 22925 36 4
v 22926 28 8
v 22927 31 3
v 22928 29 3
v 22929 44 11
v 22930 43 6
v 22931 31 9
v 22932 29 3
v 22933 31 9
v 22934 41 12
v 22935 35 21
v 22936 47 15
v 22937 41 3
v 22938 32 8
v 22939 29 13
v 22940 33 10
v 22941 45 23
v 22942 54 28
v 22943 33 9
v 22944 42 15
v 22945 50 33
v 22946 40 12
v 22947 31 15
v 22948 48 20
v 22949 34 11
v 22950 30 34
v 22951 45 18
v 22952 65 19
v 22953 40 23
v 22954 41 25
v 22955 61 4
v 22956 44 28
v 22957 60 8
v 22958 58 34
v 22959 38 15
v 22960 44 32
v 22961 64 34
v 22962 50 49
v 22963 75 41
v 22964 52 5
v 22965 77 40
v 22966 29 31
v 22967 49 31
v 22968 64 12
v 22969 29 36
v 22970 58 17
v 22971 34 31
v 22972 31 55
v 22973 64 16
v 22974 52 18
v 22975 81 8
v 22976 77 11
v 22977 81 20
v 22978 57 52
v 22979 34 5
v 22980 91 32
v 22981 87 26
v 22982 45 10
v 22983 61 29
v 22984 32 42
v 22985 77 6
v 22986 53 35
v 22987 64 47
v 22988 96 49
v 22989 83 12
v 22990 73 5
v 22991 102 7
v 22992 31 39
v 22993 56 32
v 22994 65 68
v 22995 57 64
v 22996 106 8
v 22997 69 68
v 22998 63 88
v 22999 48 48
v 23000 111 54
v 23001 65 68
v 23002 36 37
v 23003 116 91
v 23004 65 51
v 23005 28 25
v 23006 117 69
v 23007 86 55
v 23008 80 90
v 23009 107 61
v 23010 94 51
v 23011 44 74
v 23012 127 77
v 23013 98 3
v 23014 69 89
v 23015 72 94
v 23016 123 33
v 23017 44 97
v 23018 44 11
v 23019 131 58
v 23020 50 11
v 23021 36 52
v 23022 135 17
v 23023 68 83
v 23024 68 97
v 23025 114 46
v 23026 101 43
v 23027 36 66
v 23028 94 5
v 23029 115 27
v 23030 111 8
v 23031 93 102
v 23032 131 103
v 23033 104 42
v 23034 45 5
v 23035 40 26
v 23036 142 102
v 23037 90 104
v 23038 129 64
v 23039 91 33
v 23040 91 99
v 23041 156 39
v 23042 32 22
v 23043 90 65
v 23044 100 129
v 23045 36 21
v 23046 154 22
v 23047 69 53
v 23048 142 26
v 23049 42 16
v 23050 87 104
v 23051 160 29
v 23052 30 16
v 23053 147 138
v 23054 54 34
v 23055 135 68
v 23056 100 137
v 23057 57 63
v 23058 113 49
v 23059 97 137
v 23060 116 76
v 23061 161 75
v 23062 81 123
v 23063 101 24
v 23064 75 106
v 23065 28 3
v 23066 29 4
v 23067 29 4
v 23068 28 6
v 23069 29 7
v 23070 28 8
v 23071 33 6
v 23072 32 7
v 23073 34 4
v 23074 32 10
v 23075 36 12
v 23076 30 8
v 23077 35 4
v 23078 36 6
v 23079 33 11
v 23080 35 17
v 23081 42 6
v 23082 28 15
v 23083 46 19
v 23084 43 12
v 23085 36 13
v 23086 35 6
v 23087 34 12
v 23088 51 12
v 23089 36 18
v 23090 33 6
v 23091 54 18
v 23092 34 8
v 23093 56 12
v 23094 31 30
v 23095 38 12
v 23096 42 13
v 23097 36 34
v 23098 33 5
v 23099 34 20
v 23100 45 3
v 23101 32 23
v 23102 32 29
v 23103 40 16
v 23104 30 22
v 23105 43 38
v 23106 69 44
v 23107 28 23
v 23108 45 29
v 23109 58 36
v 23110 50 22
v 23111 57 5
v 23112 34 41
v 23113 32 12
v 23114 77 40
v 23115 78 7
v 23116 39 51
v 23117 46 30
v 23118 30 27
v 23119 79 40
v 23120 45 11
v 23121 69 11
v 23122 44 52
v 23123 74 19
v 23124 81 18
v 23125 44 59
v 23126 34 58
v 23127 37 3
v 23128 82 9
v 23129 55 39
v 23130 61 58
v 23131 86 61
v 23132 37 10
v 23133 84 69
v 23134 56 34
v 23135 62 59
v 23136 81 32
v 23137 37 70
v 23138 95 64
v 23139 51 6
v 23140 47 3
v 23141 32 31
v 23142 85 44
v 23143 46 16
v 23144 39 20
v 23145 63 70
v 23146 50 40
v 23147 68 59
v 23148 93 80
v 23149 53 11
v 23150 79 44
v 23151 79 42
v 23152 59 79
v 23153 48 65
v 23154 81 81
v 23155 65 42
v 23156 97 5
v 23157 94 49
v 23158 89 5
v 23159 52 20
v 23160 106 46
v 23161 56 74
v 23162 52 88
v 23163 96 87
v 23164 57 76
v 23165 78 37
v 23166 90 39
v 23167 112 15
v 23168 95 35
v 23169 107 60
v 23170 130 67
v 23171 126 15
v 23172 40 58
v 23173 74 89
v 23174 56 7
v 23175 83 76
v 23176 136 44
v 23177 56 93
v 23178 139 93
v 23179 56 3
v 23180 141 113
v 23181 54 5
v 23182 46 35
v 23183 63 21
v 23184 128 85
v 23185 80 27
v 23186 137 41
v 23187 142 83
v 23188 92 93
v 23189 62 40
v 23190 42 128
v 23191 103 108
v 23192 54 117
v 23193 114 118
v 23194 122 88
v 23195 52 102
v 23196 96 117
v 23197 97 36
v 23198 103 79
v 23199 37 115
v 23200 126 38
v 23201 160 115
v 23202 140 7
v 23203 152 70
v 23204 105 46
v 23205 167 61
v 23206 143 50
v 23207 109 30
v 23208 54 42
v 23209 85 4
v 23210 160 63
v 23211 128 116
v 23212 98 137
v 23213 49 137
v 23214 78 30
v 23215 53 44
v 23216 98 84
v 23217 28 3
v 23218 29 4
v 23219 28 4
v 23220 31 5
v 23221 32 3
v 23222 32 3
v 23223 29 4
v 23224 29 9
v 23225 35 5
v 23226 30 3
v 23227 36 12
v 23228 33 5
v 23229 29 12
v 23230 41 5
v 23231 40 11
v 23232 42 18
v 23233 30 18
v 23234 29 15
v 23235 43 18
v 23236 42 11
v 23237 41 14
v 23238 32 19
v 23239 40 8
v 23240 48 19
v 23241 50 15
v 23242 34 19
v 23243 43 14
v 23244 30 22
v 23245 45 18
v 23246 55 18
v 23247 43 3
v 23248 50 20
v 23249 48 12
v 23250 51 4
v 23251 41 12
v 23252 60 17
v 23253 54 36
v 23254 42 19
v 23255 41 10
v 23256 66 17
v 23257 41 12
v 23258 45 43
v 23259 64 8
v 23260 67 30
v 23261 45 41
v 23262 59 45
v 23263 71 35
v 23264 43 45
v 23265 56 12
v 23266 69 44
v 23267 39 14
v 23268 60 12
v 23269 49 15
v 23270 62 26
v 23271 67 3
v 23272 65 39
v 23273 56 13
v 23274 31 9
v 23275 81 14
v 23276 43 51
v 23277 79 29
v 23278 89 47
v 23279 90 27
v 23280 40 18
v 23281 65 5
v 23282 77 31
v 23283 63 45
v 23284 60 54
v 23285 56 50
v 23286 50 40
v 23287 95 15
v 23288 52 6
v 23289 97 31
v 23290 72 4
v 23291 24 3
v 23292 25 4
v 23293 25 4
v 23294 27 3
v 23295 25 3
v 23296 26 5
v 23297 30 4
v 23298 24 6
v 23299 26 7
v 23300 33 4
v 23301 32 5
v 23302 29 14
v 23303 35 4
v 23304 27 10
v 23305 30 5
v 23306 33 6
v 23307 36 4
v 23308 34 11
v 23309 40 6
v 23310 42 10
v 23311 33 8
v 23312 35 9
v 23313 36 20
v 23314 27 7
v 23315 24 12
v 23316 26 19
v 23317 27 29
v 23318 48 12
v 23319 37 31
v 23320 36 29
v 23321 42 9
v 23322 24 32
v 23323 30 28
v 23324 30 13
v 23325 38 24
v 23326 59 27
v 23327 35 23
v 23328 50 18
v 23329 26 7
v 23330 54 30
v 23331 59 27
v 23332 31 42
v 23333 40 10
v 23334 39 12
v 23335 24 30
v 23336 63 14
v 23337 54 14
v 23338 67 22
v 23339 48 5
v 23340 43 12
v 23341 36 52
v 23342 26 39
v 23343 38 3
v 23344 66 35
v 23345 25 53
v 23346 54 27
v 23347 75 8
v 23348 62 34
v 23349 76 18
v 23350 59 38
v 23351 81 11
v 23352 33 53
v 23353 73 15
v 23354 71 53
v 23355 71 67
v 23356 78 31
v 23357 66 35
v 23358 51 33
v 23359 91 7
v 23360 70 64
v 23361 42 64
v 23362 56 72
v 23363 61 62
v 23364 39 33
v 23365 67 17
v 23366 68 55
v 23367 72 72
v 23368 68 6
v 23369 35 9
v 23370 34 32
v 23371 102 23
v 23372 24 66
v 23373 49 40
v 23374 42 72
v 23375 52 52
v 23376 105 71
v 23377 95 15
v 23378 70 41
v 23379 61 61
v 23380 77 33
v 23381 63 14
v 23382 101 14
v 23383 114 42
v 23384 98 91
v 23385 28 60
v 23386 70 26
v 23387 81 53
v 23388 27 77
v 23389 24 32
v 23390 50 14
v 23391 52 98
v 23392 72 76
v 23393 70 57
v 23394 24 3
v 23395 24 3
v 23396 25 4
v 23397 26 4
v 23398 26 4
v 23399 28 4
v 23400 30 5
v 23401 24 4
v 23402 27 10
v 23403 29 7
v 23404 33 10
v 23405 28 10
v 23406 25 11
v 23407 37 9
v 23408 28 14
v 23409 34 7
v 23410 27 6
v 23411 34 12
v 23412 37 10
v 23413 39 3
v 23414 27 14
v 23415 43 14
v 23416 39 24
v 23417 24 8
v 23418 28 12
v 23419 28 28
v 23420 32 17
v 23421 40 6
v 23422 25 21
v 23423 36 10
v 23424 40 12
v 23425 52 19
v 23426 49 11
v 23427 53 17
v 23428 40 20
v 23429 48 17
v 23430 57 36
v 23431 28 40
v 23432 30 26
v 23433 31 3
v 23434 32 22
v 23435 63 14
v 23436 50 15
v 23437 57 39
v 23438 68 24
v 23439 61 24
v 23440 33 46
v 23441 56 38
v 23442 67 17
v 23443 56 46
v 23444 53 46
v 23445 73 29
v 23446 57 10
v 23447 33 20
v 23448 56 30
v 23449 25 23
v 23450 26 48
v 23451 45 4
v 23452 33 61
v 23453 66 7
v 23454 80 5
v 23455 38 54
v 23456 53 17
v 23457 26 47
v 23458 88 25
v 23459 74 19
v 23460 81 54
v 23461 57 32
v 23462 46 60
v 23463 54 3
v 23464 73 58
v 23465 79 38
v 23466 73 71
v 23467 87 49
v 23468 96 77
v 23469 58 44
v 23470 31 45
v 23471 39 35
v 23472 33 72
v 23473 91 42
v 23474 62 17
v 23475 29 22
v 23476 74 56
v 23477 54 83
v 23478 49 36
v 23479 50 57
v 23480 24 58
v 23481 94 70
v 23482 83 72
v 23483 25 5
v 23484 35 88
v 23485 75 78
v 23486 29 25
v 23487 68 51
v 23488 100 38
v 23489 97 24
v 23490 41 78
v 23491 95 23
v 23492 24 28
v 23493 28 32
v 23494 84 65
v 23495 82 83
v 23496 31 77
v 23497 24 3
v 23498 24 4
v 23499 26 3
v 23500 25 3
v 23501 27 6
v 23502 27 4
v 23503 28 9
v 23504 30 4
v 23505 28 6
v 23506 31 12
v 23507 25 10
v 23508 25 10
v 23509 24 15
v 23510 35 7
v 23511 26 17
v 23512 28 3
v 23513 29 18
v 23514 35 20
v 23515 38 20
v 23516 35 17
v 23517 34 12
v 23518 26 19
v 23519 25 21
v 23520 31 6
v 23521 47 27
v 23522 38 22
v 23523 25 5
v 23524 46 30
v 23525 51 30
v 23526 34 6
v 23527 45 14
v 23528 51 26
v 23529 55 16
v 23530 30 25
v 23531 24 33
v 23532 48 3
v 23533 28 15
v 23534 26 6
v 23535 26 15
v 23536 52 30
v 23537 35 35
v 23538 24 16
v 23539 37 12
v 23540 65 17
v 23541 27 20
v 23542 38 33
v 23543 28 28
v 23544 35 30
v 23545 64 25
v 23546 68 27
v 23547 32 15
v 23548 61 15
v 23549 75 50
v 23550 72 32
v 23551 41 47
v 23552 63 18
v 23553 51 6
v 23554 60 32
v 23555 47 22
v 23556 36 61
v 23557 54 35
v 23558 62 61
v 23559 72 62
v 23560 52 28
v 23561 32 16
v 23562 54 47
v 23563 74 14
v 23564 86 8
v 23565 28 3
v 23566 29 3
v 23567 29 5
v 23568 31 6
v 23569 28 5
v 23570 32 5
v 23571 28 7
v 23572 32 9
v 23573 31 8
v 23574 31 9
v 23575 34 12
v 23576 33 4
v 23577 36 8
v 23578 41 14
v 23579 38 6
v 23580 39 12
v 23581 42 18
v 23582 31 6
v 23583 42 21
v 23584 46 16
v 23585 44 18
v 23586 37 9
v 23587 32 10
v 23588 35 24
v 23589 45 19
v 23590 30 27
v 23591 42 8
v 23592 37 20
v 23593 29 4
v 23594 29 27
v 23595 48 23
v 23596 34 30
v 23597 54 35
v 23598 28 21
v 23599 62 18
v 23600 32 13
v 23601 33 11
v 23602 39 32
v 23603 46 34
v 23604 36 35
v 23605 64 31
v 23606 35 13
v 23607 48 19
v 23608 51 23
v 23609 60 44
v 23610 45 25
v 23611 55 8
v 23612 57 3
v 23613 42 29
v 23614 35 52
v 23615 47 27
v 23616 59 3
v 23617 58 45
v 23618 33 53
v 23619 75 22
v 23620 67 12
v 23621 69 38
v 23622 49 45
v 23623 30 51
v 23624 68 31
v 23625 81 19
v 23626 84 6
v 23627 44 65
v 23628 47 3
v 23629 28 25
v 23630 78 18
v 23631 66 51
v 23632 80 52
v 23633 48 31
v 23634 51 50
v 23635 30 23
v 23636 53 63
v 23637 54 11
v 23638 63 59
v 23639 33 51
v 23640 30 62
v 23641 32 44
v 23642 81 47
v 23643 98 59
v 23644 84 39
v 23645 73 58
v 23646 49 25
v 23647 50 74
v 23648 71 27
v 23649 97 85
v 23650 107 27
v 23651 98 27
v 23652 84 19
v 23653 59 52
v 23654 109 26
v 23655 46 93
v 23656 30 58
v 23657 52 32
v 23658 76 26
v 23659 51 77
v 23660 86 69
v 23661 95 84
v 23662 114 97
v 23663 113 42
v 23664 74 12
v 23665 97 100
v 23666 49 6
v 23667 61 95
v 23668 101 34
v 23669 109 53
v 23670 34 49
v 23671 55 39
v 23672 126 92
v 23673 49 78
v 23674 76 93
v 23675 42 38
v 23676 88 32
v 23677 74 59
v 23678 139 19
v 23679 37 39
v 23680 72 42
v 23681 32 104
v 23682 83 83
v 23683 85 80
v 23684 52 61
v 23685 47 14
v 23686 98 121
v 23687 104 50
v 23688 141 41
v 23689 152 17
v 23690 76 38
v 23691 113 117
v 23692 154 7
v 23693 126 81
v 23694 28 112
v 23695 137 15
v 23696 117 76
v 23697 81 36
v 23698 68 130
v 23699 56 26
v 23700 111 17
v 23701 90 129
v 23702 87 34
v 23703 142 135
v 23704 44 89
v 23705 121 126
v 23706 65 112
v 23707 148 127
v 23708 138 36
v 23709 43 116
v 23710 119 141
v 23711 162 131
v 23712 106 34
v 23713 157 144
v 23714 89 75
v 23715 103 112
v 23716 46 71
v 23717 80 155
v 23718 76 104
v 23719 58 156
v 23720 174 96
v 23721 108 146
v 23722 136 96
v 23723 76 109
v 23724 163 123
v 23725 48 52
v 23726 89 138
v 23727 54 21
v 23728 119 142
v 23729 101 88
v 23730 189 159
v 23731 172 125
v 23732 126 106
v 23733 122 17
v 23734 71 70
v 23735 198 162
v 23736 125 134
v 23737 122 96
v 23738 37 50
v 23739 84 18
v 23740 150 16
v 23741 36 74
v 23742 73 52
v 23743 142 160
v 23744 112 111
v 23745 95 165
v 23746 82 172
v 23747 80 44
v 23748 140 169
v 23749 171 139
v 23750 97 50
v 23751 141 40
v 23752 139 113
v 23753 216 169
v 23754 185 188
v 23755 96 54
v 23756 96 146
v 23757 171 85
v 23758 142 95
v 23759 161 63
v 23760 33 117
v 23761 167 189
v 23762 113 120
v 23763 29 15
v 23764 224 198
v 23765 31 140
v 23766 189 142
v 23767 145 137
v 23768 190 177
v 23769 182 43
v 23770 126 172
v 23771 114 185
v 23772 181 158
v 23773 126 45
v 23774 230 118
v 23775 228 87
v 23776 38 37
v 23777 144 188
v 23778 213 203
v 23779 28 22
v 23780 125 9
v 23781 108 151
v 23782 151 103
v 23783 151 127
v 23784 108 124
v 23785 156 146
v 23786 175 145
v 23787 242 120
v 23788 124 84
v 23789 177 227
v 23790 244 43
v 23791 187 22
v 23792 183 223
v 23793 233 188
v 23794 195 229
v 23795 153 147
v 23796 122 161
v 23797 97 120
v 23798 143 10
v 23799 160 65
v 23800 159 144
v 23801 61 116
v 23802 235 239
v 23803 81 169
v 23804 263 66
v 23805 37 74
v 23806 120 68
v 23807 28 3
v 23808 28 4
v 23809 29 4
v 23810 28 4
v 23811 29 3
v 23812 32 3
v 23813 33 7
v 23814 35 10
v 23815 32 9
v 23816 31 3
v 23817 37 6
v 23818 28 11
v 23819 35 13
v 23820 30 7
v 23821 35 11
v 23822 37 13
v 23823 44 6
v 23824 44 16
v 23825 35 7
v 23826 33 3
v 23827 39 11
v 23828 29 24
v 23829 50 9
v 23830 44 3
v 23831 46 14
v 23832 41 11
v 23833 29 17
v 23834 52 21
v 23835 44 4
v 23836 39 18
v 23837 44 5
v 23838 59 25
v 23839 38 19
v 23840 34 12
v 23841 41 37
v 23842 52 24
v 23843 39 23
v 23844 47 18
v 23845 57 11
v 23846 28 40
v 23847 34 36
v 23848 60 14
v 23849 35 31
v 23850 56 32
v 23851 44 22
v 23852 31 10
v 23853 59 38
v 23854 60 3
v 23855 70 19
v 23856 73 23
v 23857 73 17
v 23858 49 22
v 23859 28 4
v 23860 45 43
v 23861 34 14
v 23862 82 26
v 23863 62 24
v 23864 33 34
v 23865 29 21
v 23866 86 12
v 23867 55 14
v 23868 63 26
v 23869 68 58
v 23870 91 43
v 23871 86 41
v 23872 38 27
v 23873 41 11
v 23874 75 64
v 23875 71 12
v 23876 32 48
v 23877 56 13
v 23878 86 74
v 23879 32 47
v 23880 46 52
v 23881 57 48
v 23882 44 33
v 23883 85 10
v 23884 47 72
v 23885 47 62
v 23886 70 69
v 23887 57 78
v 23888 52 57
v 23889 71 9
v 23890 97 44
v 23891 83 62
v 23892 34 48
v 23893 31 63
v 23894 38 11
v 23895 108 88
v 23896 108 77
v 23897 63 72
v 23898 41 35
v 23899 71 88
v 23900 75 91
v 23901 51 40
v 23902 47 6
v 23903 67 11
v 23904 57 60
v 23905 56 27
v 23906 69 81
v 23907 41 97
v 23908 104 93
v 23909 122 52
v 23910 63 52
v 23911 56 17
v 23912 35 28
v 23913 32 74
v 23914 65 72
v 23915 76 74
v 23916 77 12
v 23917 65 75
v 23918 119 34
v 23919 59 98
v 23920 88 81
v 23921 77 83
v 23922 115 67
v 23923 36 63
v 23924 127 40
v 23925 141 94
v 23926 92 5
v 23927 146 97
v 23928 28 73
v 23929 76 31
v 23930 30 126
v 23931 105 10
v 23932 132 18
v 23933 65 122
v 23934 57 40
v 23935 79 59
v 23936 62 29
v 23937 122 39
v 23938 152 58
v 23939 152 82
v 23940 116 50
v 23941 85 24
v 23942 29 88
v 23943 63 31
v 23944 112 22
v 23945 42 63
v 23946 124 47
v 23947 163 22
v 23948 58 36
v 23949 164 72
v 23950 123 19
v 23951 40 3
v 23952 173 62
v 23953 117 40
v 23954 168 134
v 23955 123 57
v 23956 83 69
v 23957 131 14
v 23958 65 12
v 23959 169 53
v 23960 54 28
v 23961 55 115
v 23962 109 52
v 23963 107 67
v 23964 108 6
v 23965 124 143
v 23966 127 28
v 23967 157 60
